,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
0,atuona,83.39,77,23,12.41,-9.8,-139.03
1,chicama,68,88,90,5.82,-7.84,-79.15
2,vaini,95,16,0,6.93,15.34,74.49
3,orlik,36.95,69,93,9.75,52.51,99.83
4,hobart,49.87,58,75,12.75,-42.88,147.33
5,fayaoue,78.71,84,83,29.06,-20.65,166.53
6,okhotsk,29.57,78,99,6.67,59.36,143.24
7,butaritari,83.75,79,82,13.62,3.07,172.79
8,khatanga,4.73,85,100,3.89,71.98,102.47
9,diego de almagro,54.95,87,0,0.81,-26.39,-70.05
10,merin,90.95,53,78,4.97,7.55,3.99
11,thompson,35.6,94,90,3.36,55.74,-97.86
12,albany,43.07,87,90,10.29,42.65,-73.75
13,rudbar,,,,,,
14,sur,95.81,15,0,8.14,22.57,59.53
15,amalapuram,98.6,47,20,5.82,16.58,82
16,kajaani,46.4,49,0,3.36,64.22,27.73
17,ushuaia,35.6,93,90,17.22,-54.81,-68.31
18,barrow,54.41,63,71,5.48,-38.31,-60.23
19,changping,70,28,0,13.42,40.22,116.23
20,la palma,68.45,98,100,2.59,5.36,-74.39
21,kapaa,70.16,73,40,9.17,22.08,-159.32
22,komsomolskiy,31.37,97,99,13.38,67.55,63.78
23,punta arenas,46.2,75,75,28.86,-53.16,-70.91
24,mataura,48,89,0,3.62,-46.19,168.86
25,haverfordwest,59.67,67,75,9.17,51.8,-4.97
26,dzhusaly,,,,,,
27,padang,86,74,40,2.24,-0.92,100.36
28,rikitea,77.63,80,20,7.43,-23.12,-134.97
29,avarua,77,88,100,10.29,-21.21,-159.78
30,marsh harbour,75.47,85,13,14.32,26.54,-77.06
31,saint george,61.5,67,40,8.05,39.45,22.34
32,carnarvon,69.71,11,0,7.99,-30.97,22.13
33,havoysund,39.2,67,82,18.34,71,24.66
34,inhambane,83.57,57,6,7.18,-23.87,35.38
35,eydhafushi,86.99,67,12,7.05,5.1,73.07
36,college,27.93,80,90,5.82,64.86,-147.8
37,buala,82.49,78,93,8.12,-8.15,159.59
38,georgetown,75.2,94,75,4.7,6.8,-58.16
39,nouadhibou,66.2,77,20,26.4,20.93,-17.03
40,isangel,78.8,83,40,11.41,-19.55,169.27
41,busselton,63.95,45,79,20.49,-33.64,115.35
42,fairbanks,28.13,80,90,5.82,64.84,-147.72
43,buchanan,82.4,94,40,4.18,5.88,-10.05
44,boa vista,80.6,69,0,14.99,2.82,-60.67
45,synya,34.61,92,100,9.95,65.37,58.04
46,bandarbeyla,90.05,46,51,10.2,9.49,50.81
47,rawson,52.25,55,0,12.19,-43.3,-65.11
48,faanui,84.83,77,20,11.56,-16.48,-151.75
49,qaanaaq,-13.82,90,100,3.78,77.48,-69.36
50,taolanaro,,,,,,
51,arraial do cabo,74.23,78,0,13.87,-22.97,-42.02
52,longyearbyen,37.4,95,75,21.92,78.22,15.63
53,yacuiba,63.05,99,86,1.48,-22.01,-63.68
54,ponta delgada,60.8,93,75,5.82,37.73,-25.67
55,upernavik,-9.86,99,100,5.44,72.79,-56.15
56,jamestown,72.59,34,54,11.72,-33.21,138.6
57,sakakah,,,,,,
58,kristianstad,58.26,41,0,5.82,56.03,14.16
59,belushya guba,,,,,,
60,filadelfia,69.71,77,8,6.55,-22.35,-60.04
61,hilo,66.18,77,40,9.17,19.71,-155.08
62,namibe,69.8,73,20,7.02,-15.19,12.15
63,manggar,84.29,81,100,2.04,-2.88,108.27
64,bengkulu,,,,,,
65,saleaula,,,,,,
66,ketchikan,46.4,87,40,11.41,55.34,-131.65
67,maniitsoq,12.83,71,83,11.03,65.42,-52.9
68,kaitangata,48,82,0,4,-46.28,169.85
69,hermanus,70.77,68,0,11.01,-34.42,19.24
70,amderma,,,,,,
71,kaka,80.15,34,100,20.11,37.35,59.62
72,chokurdakh,26.15,97,100,10.6,70.62,147.9
73,aquiraz,77.36,88,40,3.36,-3.9,-38.39
74,dikson,2.03,86,0,8.52,73.51,80.55
75,ouallam,97.25,5,14,14.88,14.32,2.08
76,bredasdorp,68,64,40,17.22,-34.53,20.04
77,san patricio,58.37,90,0,2.46,-26.98,-56.83
78,erenhot,52.25,22,100,14.07,43.65,111.97
79,udachnyy,26.6,49,90,8.95,66.42,112.4
80,panguipulli,52.92,93,90,2.24,-39.64,-72.33
81,hasaki,60.93,77,75,10.29,35.73,140.83
82,teguise,68,56,40,18.34,29.06,-13.56
83,bethel,21.2,67,90,4.7,60.79,-161.76
84,severo-kurilsk,33.35,83,0,15.01,50.68,156.12
85,airai,81.77,70,0,2.28,-8.93,125.41
86,dimona,64.99,52,51,1.99,31.07,35.04
87,kashi,,,,,,
88,carballo,57.43,77,20,4.7,43.21,-8.69
89,ayan,39.47,73,100,4.16,40.67,33.6
90,pauini,73.49,94,100,1.07,-7.71,-67
